combination,r2,q2,mae,rmsd,threshold,model,predictions
"('hirshfeld_diff_3-5', 'bond_length_4-6')",0.33467759751140136,0.1976874625299948,0.5223836400619687,0.6328025063702323,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.53304074 0.5063414  0.49998236 0.51948594 0.52867407 1.48707609
 1.43873761 1.33340161 1.395029   1.51915202 1.5175501  0.47710796
 0.46850929 0.51844577 0.59099247 0.54353264 0.54417575 0.54164861
 0.87238583 0.68942183 0.52338411 0.8150749  1.47461034 0.53224373
 0.52496467]"
"('hirshfeld_diff_3-5', 'bond_length_5-11')",0.35834337546742745,0.20285075842912736,0.53380111644173,0.6307630141632319,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.536714   0.51306313 0.49539337 0.53979154 0.6328739  1.59181817
 1.20924207 1.13999132 1.18527803 1.63489386 1.62621049 0.38749328
 0.33251792 0.49731294 0.60753999 0.5546602  0.54173774 0.53394807
 0.97267422 0.56641244 0.52048728 0.98076529 1.63184044 0.55544445
 0.6068647 ]"
"('hirshfeld_diff_3-5', 'bond_length_12-13')",0.33600296849492295,-74.49855085971545,1.7281887997006717,6.138548748378448,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.53177894 0.50493345 0.49884109 0.51805569 0.53321685 1.50598017
 1.31969834 1.35009598 1.41313869 1.53822898 1.53664249 0.4756579
 0.46684857 0.51728899 0.59144685 0.54160597 0.54307737 0.54058475
 0.88043336 0.6949545  0.52211509 0.82254393 1.49295717 0.53159212
 0.52325161]"
"('hirshfeld_diff_3-5', 'bond_length_12-14')",0.46908562890976,-806.8740144113516,4.441166032567868,20.080208630718868,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.45009781 0.41967706 0.4130598  0.44731107 1.78363718 1.4920973
 1.45004655 1.32981099 1.39903757 1.52793315 1.52655697 0.39054027
 0.38199    0.43398942 0.51333224 0.46048842 0.46199904 0.45924581
 0.82477805 0.62823684 0.43921566 0.76108499 1.4764147  0.46308971
 0.46129822]"
"('hirshfeld_diff_3-5', 'bond_length_11-12')",0.8606155784149615,0.805713631111834,0.24378510549505422,0.31139925342162283,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.18948599 0.19191525 0.12636347 1.26388542 2.04636674 1.495917
 1.49789863 1.39276162 1.52388232 1.48366437 1.48668851 0.14062478
 0.15949313 0.15011877 0.19796822 0.21609376 0.1760832  0.14685832
 0.69355574 0.45519682 0.14580319 0.65261723 1.45565323 1.37474241
 1.7313307 ]"
"('hirshfeld_diff_3-5', 'aniso')",0.37910741305140594,0.24256012348481704,0.4925648733603583,0.6148518497566243,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.72485475 0.64981663 0.63412732 0.60760445 0.70547681 1.48790525
 1.32824783 1.30256826 1.35413726 1.58319375 1.52705259 0.60469411
 0.38639799 0.60648846 0.62610806 0.11467673 0.45286684 0.20248753
 0.95767216 0.70994794 0.27082653 0.85304912 1.5393569  0.57697619
 0.58843535]"
"('hirshfeld_diff_3-5', 'iso')",0.3730385354280553,0.2213273026669691,0.5095676097806432,0.6234101584835908,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.31547568 0.34466223 0.35679126 0.66262073 0.43506446 1.48005208
 1.46751049 1.40010411 1.39773603 1.43442557 1.45369011 0.21828819
 0.45054004 0.33782947 0.50306534 0.73611517 0.71983051 0.68830174
 0.96661805 1.03178589 0.6373981  0.79483967 1.43881859 0.55270768
 0.57069761]"
"('hirshfeld_diff_3-5', 'energy')",0.38813397565466223,0.20507397746049727,0.5217981101888001,0.6298828129490822,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.48575514 0.2181349  0.52398785 0.60968048 0.77209206 1.36130815
 1.51232635 1.24472112 1.06474954 1.67409645 1.67061202 0.52483747
 0.548945   0.63388437 0.70093277 0.23279907 0.52091289 0.41511964
 0.98120765 0.71920495 0.20113693 0.91368017 1.51442243 0.60440853
 0.7460129 ]"
"('hirshfeld_diff_3-5', 'cone_angle_deg')",0.5905994990117731,0.45017387140392995,0.44930420100226093,0.5238525814583164,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.42062684 0.37203831 0.3461989  1.10335965 0.9741147  1.22899142
 1.9526247  1.74647921 1.89290204 1.282537   1.29481731 0.19336839
 0.21328259 0.39037465 0.407999   0.41827181 0.43401926 0.41799427
 0.35202166 0.8925549  0.38716518 0.20360996 1.23601529 1.28138508
 0.95221671]"
"('hirshfeld_diff_3-5', '%Vbur_first')",0.7478102192524856,0.6819037335825922,0.3304790029952563,0.39845170272622854,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[ 0.36893198  0.33437828  0.32473515  1.94601008  1.33694739  1.40998653
  1.59175512  1.47148764  1.54148892  1.4471243   1.44266347 -0.26408842
 -0.19314574  0.31979356  0.3334855   0.37868745  0.38127172  0.37529567
  0.68518422  0.48279701  0.3634084   0.68507065  1.39323433  1.50789719
  0.73056844]"
"('hirshfeld_diff_3-5', '%Vbur_second')",0.812552730243145,0.7418581710036785,0.29779124867889517,0.35894308623962723,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[ 0.30298336  0.4080487   0.27096462  2.12078024  1.16118714  1.61462983
  1.30769086  1.21430044  1.38795437  1.52399814  1.52269574 -0.32742812
 -0.15480289  0.09298772  0.15107174  0.45270483  0.35718234  0.30720438
  0.96941149  0.54780769  0.29392435  0.74762111  1.5335583   1.4721273
  1.11636517]"
"('hirshfeld_diff_3-5', 'Δ%Vbur(second-first)')",0.7575118790383978,0.6892166043748151,0.2857545652648611,0.3938449715533988,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[ 0.28940791  0.51907916  0.27130792  1.88784716  0.78826544  1.81474061
  1.01745309  0.95162137  1.21388258  1.6106242   1.61287948 -0.1822741
  0.05797619 -0.05212256  0.06080169  0.56178731  0.37996605  0.29237548
  1.26964979  0.66147406  0.2761818   0.83821875  1.67837027  1.17676852
  1.39868665]"
"('hirshfeld_diff_3-5', 'Vbur1_volume_A3')",0.7478102189323907,0.6819037333641518,0.33047900347238374,0.3984517028630392,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[ 0.36893198  0.33437829  0.32473516  1.94601007  1.33694739  1.40998653
  1.59175512  1.47148763  1.54148892  1.4471243   1.44266348 -0.26408843
 -0.19314574  0.31979356  0.33348551  0.37868745  0.38127172  0.37529566
  0.68518422  0.482797    0.36340839  0.68507065  1.39323433  1.50789719
  0.73056844]"
"('hirshfeld_diff_3-5', 'Free1_volume_A3')",0.7478102193151219,0.6819037336907643,0.3304790029971664,0.3984517026584796,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[ 0.36893198  0.33437828  0.32473515  1.94601008  1.33694739  1.40998653
  1.59175512  1.47148764  1.54148892  1.4471243   1.44266347 -0.26408842
 -0.19314574  0.31979356  0.3334855   0.37868745  0.38127173  0.37529567
  0.68518422  0.48279701  0.3634084   0.68507065  1.39323433  1.50789719
  0.73056844]"
"('hirshfeld_diff_3-5', 'Vbur2_volume_A3')",0.8125527297794548,0.7418581704911962,0.2977912490191632,0.3589430865959275,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[ 0.30298336  0.4080487   0.27096462  2.12078023  1.16118714  1.61462983
  1.30769086  1.21430044  1.38795437  1.52399814  1.52269574 -0.32742812
 -0.15480289  0.09298772  0.15107174  0.45270483  0.35718234  0.30720438
  0.96941149  0.54780769  0.29392435  0.74762112  1.5335583   1.4721273
  1.11636516]"
"('hirshfeld_diff_3-5', 'Free2_volume_A3')",0.8125527300050065,0.7418581708638724,0.29779124884582425,0.3589430863368266,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[ 0.30298336  0.4080487   0.27096462  2.12078023  1.16118714  1.61462983
  1.30769086  1.21430044  1.38795437  1.52399814  1.52269574 -0.32742812
 -0.15480289  0.09298771  0.15107174  0.45270483  0.35718234  0.30720438
  0.96941149  0.54780769  0.29392435  0.74762112  1.5335583   1.4721273
  1.11636517]"
"('hirshfeld_diff_11-5', 'cm5_diff_11-12')",0.13153254046354368,-inf,inf,inf,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.85032431 1.02371304 0.66039503 1.19826264 1.22886079 0.86486918
 0.25803447 0.47706882 0.68760804 0.71807773 0.70894444 0.74855016
 0.60989435 0.56151482 0.59475989 0.83743081 0.76222101 0.70338567
 0.8767583  0.74243686 0.80313146 0.85896973 0.8972465  1.34020807
 1.3823027 ]"
"('hirshfeld_diff_11-5', 'cm5_diff_3-5')",0.2775199432368304,0.1185833754248079,0.5772115073632934,0.6632649075793716,0.2,<modeling.LinearRegressionModel object at 0x000001C7693CA9A0>,"[0.57594361 0.58813208 0.69508751 0.5933408  0.63283341 1.33773721
 1.43300292 1.58288812 1.3880338  1.32574664 1.32112238 0.66762182
 0.64508518 0.66742502 0.63601178 0.56510747 0.58841516 0.6053371
 0.41268972 0.42895125 0.59978332 0.44704207 1.40042757 0.61613505
 0.64106786]"
