combination,r2,q2,mae,rmsd,threshold,model,predictions
"('-1-2-', 'dip_z')",0.03160844605855284,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.75093041 0.75363823 0.75223156 0.71118646 0.79990598 0.83478942
 0.83390041 0.75271662 0.73379591 0.71895611 0.75061854 0.74726911
 0.74432514 0.74822252 0.77135356]"
"('-1-2-', 'B1')",0.1727734331153088,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.78120583 0.78515239 0.78464669 0.74669883 0.80106642 0.85493277
 0.85406738 0.78414572 0.7567871  0.74209887 0.78279592 0.7796521
 0.777976   0.49498406 0.6776299 ]"
"('-1-2-', 'B5')",0.032248777126895334,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.75546318 0.75644866 0.75168088 0.70826064 0.79439929 0.83589423
 0.82952836 0.75542861 0.72806484 0.71116762 0.75739723 0.75363306
 0.75147601 0.73934839 0.77564898]"
"('-1-2-', 'L')",0.15723253517624958,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.82701864 0.82867862 0.83032813 0.62069612 0.78945818 0.85802934
 0.78783222 0.82639298 0.82265503 0.72988385 0.77368317 0.74070314
 0.63664511 0.62121396 0.71062149]"
"('-2-3-', '-2-9-')",0.06471397816782887,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.75802702 0.76097369 0.78180272 0.72400844 0.83829508 0.75114997
 0.80182992 0.78145607 0.76001656 0.7481975  0.76296503 0.60775586
 0.81597615 0.77784106 0.73354491]"
"('-2-3-', '-1-10-')",0.09735151557074007,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.80474202 0.80388522 0.82165017 0.80588574 0.79936278 0.63318067
 0.69919676 0.82151198 0.8168137  0.7153525  0.70379868 0.68148647
 0.70437281 0.82322185 0.76937863]"
"('-2-3-', '-9-16-')",0.05641844325616041,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.79308969 0.79200963 0.81364423 0.73145238 0.78651891 0.71041807
 0.72861601 0.81372855 0.80806797 0.81130498 0.7338983  0.6434642
 0.73459204 0.75282376 0.75021126]"
"('-2-3-', '-17-18-')",0.07764172096435162,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.78729609 0.78626229 0.80712926 0.78864273 0.78105724 0.70961981
 0.78554954 0.80708947 0.80158374 0.80477019 0.67092158 0.64663807
 0.67171113 0.80878737 0.74678146]"
"('-2-3-', '-18-19-')",0.1494052536713617,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.84008432 0.84131381 0.70247897 0.78530391 0.8406319  0.70205759
 0.66697344 0.75343434 0.79916716 0.75553824 0.85626856 0.58911883
 0.69384102 0.73693716 0.84069072]"
"('-2-3-', '-18-20-')",0.08928266691124387,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.71739134 0.80410673 0.82792158 0.80696219 0.79828831 0.71887897
 0.80391177 0.72582103 0.72016311 0.7225058  0.80867302 0.64883702
 0.81071192 0.82965682 0.66001035]"
"('-2-3-', 'Dist_1-2')",0.5508543514177338,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.71137977 0.83312717 0.75744192 0.76235831 0.92743584 0.88113579
 0.79583714 1.12233612 0.67850543 0.61478773 0.72742947 0.50036382
 0.59192302 0.6692545  0.83052394]"
"('-2-3-', 'Dist_2-3')",0.19124439152594197,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.74230677 0.80314463 0.75918679 0.73118069 0.81512449 0.79744669
 0.80935058 0.88196139 0.87503025 0.81126584 0.70088346 0.57351314
 0.59545266 0.70256456 0.80542803]"
"('-2-3-', 'Dist_2-9')",0.3166273055209775,-inf,inf,inf,0.8,<M3_modeler.modeling.LinearRegressionModel object at 0x00000208D46BAAC0>,"[0.80073272 0.885633   0.79536537 0.78033704 0.90543758 0.82661189
 0.80813229 0.75442173 0.63537336 0.59130007 0.81348891 0.48830742
 0.68469029 0.76993677 0.86407155]"
