combination,accuracy,precision,recall,f1_score,mcfadden_r2,avg_mcfadden_r2,avg_accuracy,avg_f1_score,threshold
"('vbur_far_vtot_vburminconf',)",0.6153846153846154,0.6857142857142857,0.6153846153846154,0.5751633986928104,0.02879610810440869,,,,0.5
"('sterimol_B1_boltz',)",0.5,0.5,0.5,0.49925925925925924,0.00018131728468850916,,,,0.5
"('sterimol_B1_min',)",0.46153846153846156,0.46060606060606063,0.46153846153846156,0.45833333333333337,0.0025951370490461256,,,,0.5
"('sterimol_B1_max',)",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0026415404037197776,,,,0.5
"('sterimol_B1_delta',)",0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.0003381872381513773,,,,0.5
"('sterimol_B1_vburminconf',)",0.5769230769230769,0.58125,0.5769230769230769,0.5712143928035982,0.003738271143784,,,,0.5
"('sterimol_B5_boltz',)",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.025516665518323323,,,,0.5
"('sterimol_B5_min',)",0.5,0.5,0.5,0.49925925925925924,0.0020139527051769024,,,,0.5
"('sterimol_B5_max',)",0.7692307692307693,0.7757575757575759,0.7692307692307693,0.7678571428571429,0.06628030324368306,,,,0.5
"('sterimol_B5_delta',)",0.7692307692307693,0.7757575757575759,0.7692307692307693,0.7678571428571429,0.1484059336663759,,,,0.5
"('sterimol_B5_vburminconf',)",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.015244059100541718,,,,0.5
"('sterimol_L_boltz',)",0.5,0.5,0.5,0.49925925925925924,0.006394853841263259,,,,0.5
"('sterimol_L_min',)",0.5,0.5,0.5,0.49325337331334335,0.00023187986320105658,,,,0.5
"('sterimol_L_max',)",0.6153846153846154,0.6181818181818183,0.6153846153846154,0.6130952380952381,0.023328896733861737,,,,0.5
"('sterimol_L_delta',)",0.6153846153846154,0.6181818181818183,0.6153846153846154,0.6130952380952381,0.03088185284825684,,,,0.5
"('sterimol_L_vburminconf',)",0.6153846153846154,0.6181818181818183,0.6153846153846154,0.6130952380952381,0.013458763111094174,,,,0.5
"('sterimol_burB1_boltz',)",0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,3.807795164945116e-05,,,,0.5
"('sterimol_burB1_min',)",0.5,0.5,0.5,0.49925925925925924,0.0022577752344757895,,,,0.5
"('sterimol_burB1_max',)",0.6153846153846154,0.6181818181818183,0.6153846153846154,0.6130952380952381,0.006871218574391658,,,,0.5
"('sterimol_burB1_delta',)",0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.0030138533257564326,,,,0.5
"('sterimol_burB1_vburminconf',)",0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.021190411400858977,,,,0.5
"('sterimol_burB5_boltz',)",0.6538461538461539,0.6547619047619049,0.6538461538461539,0.6533333333333332,0.06682922121030055,,,,0.5
"('sterimol_burB5_min',)",0.5769230769230769,0.5773809523809524,0.5769230769230769,0.5762962962962963,0.07467532586872672,,,,0.5
"('sterimol_burB5_max',)",0.7692307692307693,0.7757575757575759,0.7692307692307693,0.7678571428571429,0.20797929620697497,,,,0.5
"('sterimol_burB5_delta',)",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.1189455016898815,,,,0.5
"('sterimol_burB5_vburminconf',)",0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.11518130746963218,,,,0.5
"('sterimol_burL_boltz',)",0.6538461538461539,0.6625000000000001,0.6538461538461539,0.6491754122938531,0.09305104096793282,,,,0.5
"('sterimol_burL_min',)",0.5769230769230769,0.58125,0.5769230769230769,0.5712143928035982,0.022711592398142355,,,,0.5
"('sterimol_burL_max',)",0.5769230769230769,0.5773809523809524,0.5769230769230769,0.5762962962962963,0.04898200484752924,,,,0.5
"('sterimol_burL_delta',)",0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.02756344047529058,,,,0.5
"('sterimol_burL_vburminconf',)",0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.03296726099040759,,,,0.5
"('flag',)",0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.23276402464120882,,,,0.5
