combination,r2,q2,mae,rmsd,threshold
"('PC1', 'PC2', 'PC14', 'PC19')",0.22899920553767883,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC14', 'PC20')",0.2178279631379415,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC15', 'PC16')",0.19497228436154457,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC15', 'PC17')",0.28029522188315714,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC15', 'PC18')",0.2183806790284898,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC15', 'PC19')",0.20987489525774505,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC15', 'PC20')",0.19870365285936753,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC16', 'PC17')",0.28030154852293154,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC16', 'PC18')",0.21838700566821156,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC16', 'PC19')",0.20988122189748004,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC16', 'PC20')",0.1987099794990973,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC17', 'PC18')",0.303709943192378,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC17', 'PC19')",0.2952041594198783,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC17', 'PC20')",0.28403291702026756,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC18', 'PC19')",0.2332896165637749,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC18', 'PC20')",0.22211837416658164,-inf,inf,inf,0.85
"('PC1', 'PC2', 'PC19', 'PC20')",0.21361259039536895,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC4', 'PC5')",0.11489467619079052,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC4', 'PC6')",0.1325108127349729,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC4', 'PC7')",0.12917357499661897,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC4', 'PC8')",0.2294151784517552,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC4', 'PC9')",0.10476789480982529,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC4', 'PC10')",0.1705735934160364,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC4', 'PC11')",0.10309317305006604,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC4', 'PC12')",0.1157060255804403,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC4', 'PC13')",0.15090582954984622,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC4', 'PC14')",0.12089449806425567,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC4', 'PC15')",0.10177018778445601,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC4', 'PC16')",0.10177651442424807,-inf,inf,inf,0.85
"('PC1', 'PC3', 'PC4', 'PC17')",0.1870994519462984,-inf,inf,inf,0.85
