Models list | formula                          |       R.sq |           Q.sq |         MAE |   Model_id |
| ('PC2', 'PC6', 'PC7', 'PC17')    | 0.30381    |    0.102011    |    0.742539 |        168 |
| ('PC2', 'PC8', 'PC12', 'PC20')   | 0.305655   |    0.101914    |    0.716675 |        169 |
| ('PC2', 'PC10', 'PC16', 'PC17')  | 0.314475   |    0.101767    |    0.718063 |        170 |
| ('PC2', 'PC8', 'PC12', 'PC15')   | 0.301917   |    0.101729    |    0.708109 |        171 |
| ('PC2', 'PC8', 'PC9', 'PC19')    | 0.305888   |    0.101303    |    0.718802 |        172 |
| ('PC1', 'PC2', 'PC8', 'PC14')    | 0.341735   |    0.1013      |    0.747124 |        173 |
| ('PC2', 'PC10', 'PC13', 'PC18')  | 0.30169    |    0.100899    |    0.721419 |        174 |
| ('PC2', 'PC13', 'PC17', 'PC19')  | 0.30971    |    0.100298    |    0.705181 |        175 |
| ('PC2', 'PC7', 'PC8', 'PC9')     | 0.318383   |    0.100108    |    0.724644 |        176 |
| ('PC2', 'PC8', 'PC9', 'PC20')    | 0.294717   |    0.099537    |    0.720464 |        177 |
| ('PC2', 'PC7', 'PC10', 'PC13')   | 0.305679   |    0.0982834   |    0.72825  |        178 |
| ('PC2', 'PC6', 'PC8', 'PC14')    | 0.337846   |    0.0967988   |    0.747745 |        179 |
| ('PC2', 'PC3', 'PC13', 'PC17')   | 0.295021   |    0.0962412   |    0.68882  |        180 |
| ('PC2', 'PC11', 'PC13', 'PC17')  | 0.296124   |    0.0956716   |    0.687631 |        181 |
| ('PC8', 'PC10', 'PC12', 'PC17')  | 0.295721   |    0.0955095   |    0.6768   |        182 |
| ('PC2', 'PC8', 'PC16', 'PC18')   | 0.311403   |    0.0945824   |    0.745637 |        183 |
| ('PC2', 'PC7', 'PC8', 'PC14')    | 0.334509   |    0.0930372   |    0.738214 |        184 |
| ('PC2', 'PC13', 'PC15', 'PC17')  | 0.294801   |    0.0930041   |    0.691793 |        185 |
| ('PC2', 'PC7', 'PC17', 'PC18')   | 0.296484   |    0.0916961   |    0.747128 |        186 |
| ('PC1', 'PC8', 'PC10', 'PC17')   | 0.316415   |    0.0883735   |    0.677086 |        187 |
| ('PC2', 'PC4', 'PC5', 'PC8')     | 0.368019   |    0.0871475   |    0.705596 |        188 |
| ('PC2', 'PC10', 'PC13', 'PC19')  | 0.293184   |    0.0870039   |    0.744397 |        189 |
| ('PC2', 'PC8', 'PC9', 'PC18')    | 0.314394   |    0.0869055   |    0.751376 |        190 |
| ('PC2', 'PC8', 'PC12', 'PC16')   | 0.301924   |    0.0864893   |    0.722194 |        191 |
| ('PC2', 'PC8', 'PC14', 'PC20')   | 0.310843   |    0.0855787   |    0.729609 |        192 |
| ('PC2', 'PC8', 'PC14', 'PC19')   | 0.322015   |    0.0838174   |    0.732609 |        193 |
| ('PC2', 'PC8', 'PC9', 'PC12')    | 0.304915   |    0.0816979   |    0.725724 |        194 |
| ('PC2', 'PC8', 'PC9', 'PC11')    | 0.292302   |    0.0779376   |    0.750805 |        195 |
| ('PC2', 'PC8', 'PC14', 'PC18')   | 0.330521   |    0.0778381   |    0.754507 |        196 |
| ('PC2', 'PC9', 'PC13', 'PC17')   | 0.297799   |    0.0777596   |    0.705194 |        197 |
| ('PC2', 'PC13', 'PC16', 'PC17')  | 0.294808   |    0.0770277   |    0.706571 |        198 |
| ('PC2', 'PC4', 'PC14', 'PC17')   | 0.331704   |    0.0737293   |    0.719946 |        199 |
| ('PC2', 'PC12', 'PC13', 'PC17')  | 0.308737   |    0.0724642   |    0.701728 |        200 |
| ('PC2', 'PC4', 'PC10', 'PC20')   | 0.299791   |    0.071755    |    0.748725 |        201 |
| ('PC2', 'PC13', 'PC17', 'PC20')  | 0.298539   |    0.0707595   |    0.721564 |        202 |
| ('PC2', 'PC10', 'PC12', 'PC13')  | 0.292211   |    0.0676145   |    0.733623 |        203 |
| ('PC2', 'PC4', 'PC10', 'PC14')   | 0.315178   |    0.0671335   |    0.742857 |        204 |
| ('PC1', 'PC8', 'PC13', 'PC17')   | 0.296747   |    0.0659142   |    0.683031 |        205 |
| ('PC2', 'PC8', 'PC13', 'PC14')   | 0.356241   |    0.0654973   |    0.721428 |        206 |
| ('PC2', 'PC8', 'PC11', 'PC14')   | 0.308429   |    0.0644559   |    0.761869 |        207 |
| ('PC2', 'PC3', 'PC8', 'PC14')    | 0.307325   |    0.063598    |    0.763602 |        208 |
| ('PC2', 'PC8', 'PC14', 'PC15')   | 0.307106   |    0.0617182   |    0.763613 |        209 |
| ('PC2', 'PC8', 'PC12', 'PC14')   | 0.321042   |    0.0587571   |    0.747711 |        210 |
| ('PC1', 'PC4', 'PC8', 'PC17')    | 0.314525   |    0.0574266   |    0.70055  |        211 |
| ('PC1', 'PC4', 'PC8', 'PC10')    | 0.297999   |    0.0554884   |    0.69608  |        212 |
| ('PC2', 'PC10', 'PC17', 'PC20')  | 0.318207   |    0.0547652   |    0.764662 |        213 |
| ('PC1', 'PC2', 'PC5', 'PC8')     | 0.335735   |    0.0541141   |    0.786403 |        214 |
| ('PC1', 'PC2', 'PC14', 'PC17')   | 0.29942    |    0.0540587   |    0.774301 |        215 |
| ('PC1', 'PC2', 'PC5', 'PC17')    | 0.29342    |    0.0521988   |    0.780591 |        216 |
| ('PC2', 'PC8', 'PC14', 'PC16')   | 0.307112   |    0.0517963   |    0.776132 |        217 |
| ('PC2', 'PC5', 'PC8', 'PC10')    | 0.369909   |    0.0509359   |    0.744464 |        218 |
| ('PC2', 'PC8', 'PC9', 'PC14')    | 0.310103   |    0.0474312   |    0.779984 |        219 |
| ('PC8', 'PC10', 'PC14', 'PC17')  | 0.30091    |    0.0473594   |    0.701789 |        220 |
| ('PC2', 'PC5', 'PC10', 'PC17')   | 0.327594   |    0.0463744   |    0.757258 |        221 |
| ('PC4', 'PC8', 'PC14', 'PC17')   | 0.29902    |    0.0441642   |    0.708995 |        222 |
| ('PC2', 'PC5', 'PC8', 'PC17')    | 0.386435   |    0.0441304   |    0.751166 |        223 |
| ('PC2', 'PC10', 'PC14', 'PC17')  | 0.333593   |    0.0438107   |    0.766137 |        224 |
| ('PC2', 'PC5', 'PC6', 'PC8')     | 0.331847   |    0.0421569   |    0.777613 |        225 |
| ('PC2', 'PC6', 'PC14', 'PC17')   | 0.295531   |    0.0395653   |    0.792123 |        226 |
| ('PC2', 'PC5', 'PC8', 'PC13')    | 0.350242   |    0.0374565   |    0.731728 |        227 |
| ('PC2', 'PC5', 'PC7', 'PC8')     | 0.328509   |    0.035667    |    0.767311 |        228 |
| ('PC2', 'PC5', 'PC13', 'PC17')   | 0.307926   |    0.0312392   |    0.743868 |        229 |
| ('PC2', 'PC7', 'PC14', 'PC17')   | 0.292193   |    0.0299484   |    0.787855 |        230 |
| ('PC2', 'PC4', 'PC13', 'PC14')   | 0.29551    |    0.0292317   |    0.726895 |        231 |
| ('PC2', 'PC5', 'PC8', 'PC19')    | 0.316015   |    0.028471    |    0.771583 |        232 |
| ('PC2', 'PC5', 'PC8', 'PC20')    | 0.304844   |    0.0268491   |    0.7691   |        233 |
| ('PC2', 'PC5', 'PC8', 'PC18')    | 0.324521   |    0.0262805   |    0.798345 |        234 |
| ('PC2', 'PC13', 'PC14', 'PC17')  | 0.313926   |    0.0233926   |    0.753613 |        235 |
| ('PC2', 'PC5', 'PC8', 'PC12')    | 0.315042   |    0.0204052   |    0.770659 |        236 |
| ('PC2', 'PC5', 'PC8', 'PC11')    | 0.302429   |    0.019705    |    0.79509  |        237 |
| ('PC2', 'PC10', 'PC13', 'PC14')  | 0.2974     |    0.017561    |    0.826741 |        238 |
| ('PC2', 'PC5', 'PC8', 'PC15')    | 0.301106   |    0.0172489   |    0.798552 |        239 |
| ('PC2', 'PC5', 'PC8', 'PC16')    | 0.301112   |    0.0108974   |    0.816892 |        240 |
| ('PC2', 'PC5', 'PC8', 'PC14')    | 0.32023    |    0.00947927  |    0.827994 |        241 |
| ('PC2', 'PC5', 'PC8', 'PC9')     | 0.304104   |    0.00863144  |    0.818378 |        242 |
