combination,r2,q2,mae,rmsd,threshold,model
"('cross', 'para', '-2-3-', 'diff O1 B2')",0.7482032616035377,-1.5523633923792564,0.1985328209321188,0.27858576623756354,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'diff B2 C3')",0.7217092933366813,-1.3836186121008525,0.18680187876495885,0.2692192150627344,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'diff B2 O9')",0.7520433294788663,-1.4543569083909138,0.19785125200413842,0.2731847980355164,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'diff O1 H10')",0.7225817208891343,-1.4986428625103354,0.18829579204533314,0.2756384268538456,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'diff O9 H16')",0.7216910172747761,-1.579866743161404,0.1879651383550952,0.2800827144557153,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'diff H10 O17')",0.7214054384697179,-1.4283764442096554,0.18662223904793754,0.27173505974036566,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'diff H16 O17')",0.733135287857358,-1.351289148108659,0.18132803783729604,0.2673872468001919,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'diff O17 C18')",0.7213544626343085,-1.4138593768553651,0.18751055053592228,0.2709216130741781,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'diff C18 H19')",0.7219654634893392,-1.4313681957648976,0.18695715695127701,0.27190239655329973,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'diff C18 C20')",0.7248240936237865,-1.356030729107566,0.1868554280101384,0.26765671594580065,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'B1')",0.7813648154379859,-3.433341596153457,0.24811937305835252,0.36715823003937254,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'B5')",0.815728335125061,-0.7757707371937015,0.16983490942219717,0.23237056675765078,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-3-', 'L')",0.7928369222925591,-0.9384816118146915,0.17612414606379279,0.24278313362199924,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', '-1-10-')",0.6262298593336462,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', '-9-16-')",0.6468623419641978,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', '-17-18-')",0.6216809187419509,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', '-18-19-')",0.6227268726883619,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', '-18-20-')",0.6772839494698817,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'Dist(1, 2)')",0.6414093105343408,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
"('cross', 'para', '-2-9-', 'Dist(2, 3)')",0.6248157971186958,-inf,inf,inf,0.7,<modeling.LinearRegressionModel object at 0x000002CF551BA640>
