combination,r2,q2,mae,rmsd,threshold
"('cross', 'cross_angle', 'para_angle', 'nbo_diff_3-5')",0.3991292814033168,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'nbo_diff_5-12')",0.38212466989465843,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'nbo_diff_3-11')",0.41833107479036524,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'hirshfeld_diff_3-5')",0.41139005678483176,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'hirshfeld_diff_5-12')",0.37749360121266773,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'hirshfeld_diff_3-11')",0.4823478584485811,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'B1_4-6')",0.24688342753443449,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'B5_4-6')",0.2697370537103976,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'L_4-6')",0.2524748986611689,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'loc_B5_4-6')",0.26391979153572154,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'B1_B5_angle_4-6')",0.2468728584697154,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'B1_6-4')",0.31764524653542714,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'B5_6-4')",0.4357023568122377,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'L_6-4')",0.24709751216837494,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'loc_B5_6-4')",0.2553795694705039,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'B1_B5_angle_6-4')",0.2504592366991286,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'angle_[11, 6, 4]')",0.25882694029019127,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'angle_[6, 4, 5]')",0.36429482592738194,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'angle_[1, 5, 4]')",0.4022461827514995,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'bond_length_11-6')",0.42236612862512146,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'bond_length_6-4')",0.32601320333239836,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'bond_length_1-5')",0.2550039786127073,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'bond_length_22-23')",0.2641179784468607,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'aniso')",0.32969283152490647,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'iso')",0.254278303132925,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'energy')",0.2804655063250183,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'Frequency_Stretch_12_21')",0.2731833323673927,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'para_angle', 'Amplitude_Stretch_12_21')",0.25275937099147594,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'Cross_mag_Bending_17-18')",0.4560033129752886,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_x_11-6-4')",0.29321478309787263,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_y_11-6-4')",0.2862555935901848,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_z_11-6-4')",0.36651042950887125,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'total_dipole_11-6-4')",0.26859086893121975,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_x_10-11-12')",0.2745788852952783,-inf,inf,inf,0.7
"('cross', 'cross_angle', 'Frequency_Bending_17-18', 'dipole_y_10-11-12')",0.30911248078607134,-inf,inf,inf,0.7
