combination,r2,q2,mae,rmsd,threshold,model,predictions
"('Dist_18-20', 'Dist_16-17')",0.5519985530520446,0.15117164683690731,0.14267152113348577,0.18149681520688873,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.78648256 0.85440165 0.88999503 0.78923852 0.90460962 0.70441752
 0.99325602 0.92696793 0.68271915 0.52326205 0.88754189 0.56015209
 0.56763046 0.5800075  0.75315796]"
"('Dist_18-20', 'Dist_10-17')",0.4317121172499828,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.66485819 0.8658182  0.79553099 0.70478935 0.92158741 0.93041476
 0.85141345 0.89145038 0.72083449 0.59432831 0.83726705 0.5574972
 0.5259342  0.68454203 0.85757396]"
"('Dist_18-20', 'dip_x')",0.24778689224557504,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.74333358 0.69770495 0.71420905 0.66195935 0.89456432 0.87371437
 0.90014765 0.96578998 0.65685186 0.66428934 0.78377131 0.7665445
 0.727596   0.67795098 0.67541273]"
"('Dist_18-20', 'dip_y')",0.3082033690267749,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.77739335 0.82326621 0.8361512  0.6837201  0.86174356 0.69174637
 0.71667548 1.0682226  0.75854582 0.67201872 0.69638632 0.63442283
 0.62121552 0.73710067 0.82523124]"
"('Dist_18-20', 'dip_z')",0.16954495875329345,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.71614535 0.75595251 0.74645467 0.64977472 0.81900418 0.79005275
 0.87281181 0.98701511 0.70160787 0.73036811 0.71001629 0.72022547
 0.67934484 0.74143934 0.78362695]"
"('Dist_18-20', 'B1')",0.2931233268447162,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.73656741 0.78933855 0.78796562 0.67375291 0.82103323 0.81837709
 0.89264336 0.9973463  0.73461793 0.7413339  0.75009361 0.75675243
 0.72842623 0.49152819 0.6840632 ]"
"('Dist_18-20', 'B5')",0.16849383090856318,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.71244941 0.76400215 0.75648201 0.63360571 0.81180902 0.79524187
 0.86714449 0.98731126 0.70349772 0.71043112 0.7271394  0.7340115
 0.70326512 0.71819178 0.77925738]"
"('Dist_18-20', 'L')",0.22452096419162992,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.77013    0.8110417  0.81130494 0.5846862  0.81313556 0.8335543
 0.84134433 0.97097547 0.77795792 0.72142982 0.74211516 0.72470782
 0.62906402 0.64233131 0.73006143]"
"('Dist_16-17', 'Dist_10-17')",0.5729267025128633,0.34095061616882216,0.12743426506454997,0.15992562218550752,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.75967282 0.87548577 0.87981492 0.79088384 0.92425248 0.76861528
 0.96049322 0.8960436  0.69231345 0.5141609  0.90159582 0.53027844
 0.53166639 0.59148699 0.78707606]"
"('Dist_16-17', 'dip_x')",0.5762537672322534,0.3452175574337979,0.12782366940991102,0.15940707125208559,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.80607876 0.81570496 0.85970766 0.7999659  0.94126032 0.7522679
 1.00101643 0.91348936 0.65364187 0.501039   0.91746163 0.59033025
 0.59230887 0.55860971 0.70095737]"
"('Dist_16-17', 'dip_y')",0.5841602989225987,0.22332931850856896,0.14062876188649343,0.1736111146729287,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.8176661  0.8774711  0.91709889 0.80353106 0.91677202 0.66099019
 0.90224976 0.96656728 0.70895412 0.51682637 0.86338286 0.52986045
 0.54363364 0.597507   0.78132912]"
"('Dist_16-17', 'dip_z')",0.5584037199034191,0.33043053190918636,0.1299424605059712,0.16119697617065004,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.8043577  0.84543426 0.86712778 0.80631117 0.90593804 0.70273432
 0.99755167 0.93911426 0.66039327 0.53887838 0.8702738  0.55082698
 0.53937273 0.60048112 0.77504448]"
"('Dist_16-17', 'B1')",0.5765526207358054,0.13721462508185966,0.15011226979341302,0.18298287935458796,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.79339511 0.85897208 0.89109504 0.79103684 0.89808186 0.72540851
 0.99268421 0.94075228 0.69488817 0.55102213 0.88594736 0.59001745
 0.59460016 0.48188336 0.71405542]"
"('Dist_16-17', 'B5')",0.5524612410658887,0.35888812739732134,0.12889813916442158,0.15773424073335748,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.77405454 0.8496557  0.88996464 0.78201606 0.91272984 0.70503478
 1.00139124 0.93798998 0.69045351 0.53501474 0.87404599 0.55404867
 0.55933905 0.59158268 0.74651855]"
"('Dist_16-17', 'L')",0.5535122288100333,0.26925693132518014,0.1318523421590799,0.16839974213847816,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.79090134 0.85913836 0.89283147 0.76093187 0.90277843 0.72015695
 0.98825655 0.94396871 0.69401121 0.53188737 0.87946076 0.56698544
 0.5569277  0.56886514 0.74673868]"
"('Dist_10-17', 'dip_x')",0.3633741661408304,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.73267456 0.83472145 0.77126423 0.82885422 0.92762232 0.96545889
 0.77430271 0.68586741 0.72450142 0.58141935 0.92161266 0.59785878
 0.58630256 0.67483803 0.79654139]"
"('Dist_10-17', 'dip_y')",0.3760194496385487,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.75301149 0.90056341 0.84043815 0.83124923 0.89806125 0.84528859
 0.67152297 0.76003557 0.78385234 0.59840431 0.85680358 0.53385379
 0.5368665  0.71430822 0.87958058]"
"('Dist_10-17', 'dip_z')",0.33388564097611895,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.69183245 0.88074194 0.81122167 0.79213793 0.88894933 0.92325699
 0.76578767 0.71337607 0.76656075 0.60186005 0.88812437 0.57002615
 0.56994162 0.69219362 0.84782936]"
"('Dist_10-17', 'B1')",0.47059839888356136,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.73420491 0.90430721 0.82918571 0.83505277 0.89203927 0.94793907
 0.79416077 0.7418943  0.77487553 0.63126493 0.90917981 0.59907813
 0.59069049 0.45319717 0.76676991]"
"('Dist_10-17', 'B5')",0.3334688474412377,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.71199532 0.87950117 0.79695921 0.80254353 0.88025849 0.92390196
 0.75971091 0.71476049 0.74566065 0.59954642 0.88986606 0.57468305
 0.56579197 0.69168824 0.8669725 ]"
"('Dist_10-17', 'L')",0.3713746116380282,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.75134816 0.9013158  0.83615052 0.73064199 0.87920851 0.93978305
 0.76429811 0.75706313 0.79805468 0.62195575 0.87474864 0.58326095
 0.51680073 0.63416525 0.8150447 ]"
"('dip_x', 'dip_y')",0.29468189660129873,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.94135337 0.75243238 0.80192092 0.89654364 0.92805723 0.7344612
 0.5526898  0.80330452 0.74600984 0.6077243  0.83903084 0.69820278
 0.71690083 0.69777876 0.68742957]"
"('dip_x', 'dip_z')",0.04717589632877017,-inf,inf,inf,0.48190033582575353,<modeling.LinearRegressionModel object at 0x000001E3CF19B9A0>,"[0.79448375 0.71250259 0.72619021 0.78953235 0.81256738 0.81934013
 0.77249238 0.72787576 0.720794   0.72041011 0.81282184 0.79382294
 0.78986775 0.72392348 0.68721531]"
